Field=#~Integer~#~50|Field=Case/Package~String~Case/Package~100|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer~String~Manufacturer~100|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|Field=Pricing 1~String~Pricing 1~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Arduino Uno.PrjPCB|ReportField=ProjectFullPath~C:\Users\guylh\OneDrive\Documents\Curso Altium\Arduino Uno Exemplo\Arduino Uno.PrjPCB|ReportField=Title~Bill of Materials For Project [Arduino Uno.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~00:51:02|ReportField=ReportDate~11/04/2020|ReportField=ReportDateTime~11/04/2020 00:51:02|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~60|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~Campus do Pici|ReportField=Address2~Fortaleza|ReportField=Address3~Ceará|ReportField=Address4~Brasil|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Guilherme Alves de Araújo|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~11/04/2020|ReportField=CurrentTime~00:46:40|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\guylh\OneDrive\Documents\Curso Altium\Arduino Uno Exemplo\Main.SchDoc|ReportField=DocumentName~Main.SchDoc|ReportField=DocumentNumber~00.1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~10/04/2020|ReportField=Organization~|ReportField=Parameter 1~|ReportField=Parameter 2~|ReportField=Parameter 3~|ReportField=Parameter 4~|ReportField=ProjectName~Arduino Uno.PrjPCB|ReportField=Revision~00|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~Meu projeto Arduino|ReportField=DataSourceFileName~Arduino Uno.PrjPCB|ReportField=DataSourceFullPath~C:\Users\guylh\OneDrive\Documents\Curso Altium\Arduino Uno Exemplo\Arduino Uno.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
11|0603|RX|LED|D5|LED-0603-R|LED||LTST-C190KSKT|1=0.29, 10=0.215, 25=0.16, 100=0.1153, 250=0.0798, 500=0.07088, 1000=0.05644 (USD)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Lite-On%26mpn%3DLTST-C190KSKT%26seller%3DDigi-Key%26sku%3D160-1437-1-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}160-1437-1-ND{URL.TIP}Supplier
12|0603|TX|LED|D6|LED-0603-R|LED||LTST-C190KSKT|1=0.29, 10=0.215, 25=0.16, 100=0.1153, 250=0.0798, 500=0.07088, 1000=0.05644 (USD)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Lite-On%26mpn%3DLTST-C190KSKT%26seller%3DDigi-Key%26sku%3D160-1437-1-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}160-1437-1-ND{URL.TIP}Supplier
13|1812|MF-MSMF050-2|Resettable Fuse|F1|MF-MSMF050|MF-MSMF050-2||MF-MSMF050-2|1=0.47, 5=0.456, 10=0.441, 50=0.3712, 100=0.3082, 250=0.2802, 500=0.23816, 1000=0.21014 (USD)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DBourns%26mpn%3DMF-MSMF050-2%26seller%3DDigi-Key%26sku%3DMF-MSMF050-2DKR-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}MF-MSMF050-2DKR-ND{URL.TIP}Supplier
14||Header 8|Header, 8-Pin|P1|HDR1X8|Header 8||||1||{URL}{URL.TEXT}{URL.TIP}Supplier
15||Barrel Jack|Low Voltage Power Supply Connector|P2|BARREL2.5|PWR2.5|Memory Protection Devices|EJ503A|1=1.21, 10=1.066, 100=0.92, 500=0.75276, 1000=0.66912 (USD)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMemory%2520Protection%2520Devices%26mpn%3DEJ503A%26seller%3DDigi-Key%26sku%3DEJ503A-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}EJ503A-ND{URL.TIP}Supplier
16||ICSP|Header, 3-Pin, Dual row|P3|HDR2X3M|Header 3X2|Harwin|M20-9720345|1=0.33, 10=0.308, 100=0.2156, 500=0.1848, 1000=0.154, 5000=0.132, 10000=0.1232 (USD)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DHarwin%26mpn%3DM20-9720345%26seller%3DDigi-Key%26sku%3D952-1921-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}952-1921-ND{URL.TIP}Supplier
17||AD|Header, 6-Pin|P4|HDR1X6F|Header 6||||1||{URL}{URL.TEXT}{URL.TIP}Supplier
18||IOH|Header, 10-Pin|P5|HDR1X10|Header 10||||1||{URL}{URL.TEXT}{URL.TIP}Supplier
19||IOL|Header, 8-Pin|P6|HDR1X8F|Header 8|Sullins|PPTC081LFBN-RC|1=0.65, 10=0.608, 400=0.42525, 800=0.3645, 1200=0.33413, 5200=0.29363, 10000=0.2925 (USD)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSullins%26mpn%3DPPTC081LFBN-RC%26seller%3DDigi-Key%26sku%3DS7006-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}S7006-ND{URL.TIP}Supplier
20||USB-B1HSB6||P7|USB_Type_B|USB Type B|On-Shore Technology|USB-B1HSB6|1=0.58, 10=0.546, 25=0.4916, 50=0.4368, 100=0.4186, 250=0.3822, 500=0.364, 1000=0.3003, 2500=0.273 (USD)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOn-Shore%2520Technology%26mpn%3DUSB-B1HSB6%26seller%3DDigi-Key%26sku%3DED2983-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}ED2983-ND{URL.TIP}Supplier
